"","location","total_sqft","bath","price","bhk"
"189","7th Phase JP Nagar","1420","3","90","3"
"190","7th Phase JP Nagar","1530","2","108","2"
"191","8th Phase JP Nagar","451","1","29.9","1"
"192","8th Phase JP Nagar","1240","3","43.5","3"
"193","8th Phase JP Nagar","1062","2","42.47","2"
"194","8th Phase JP Nagar","1230","2","43.5","3"
"195","8th Phase JP Nagar","1455","3","73.31","3"
"196","8th Phase JP Nagar","871","2","55","2"
"197","8th Phase JP Nagar","1098","2","43.91","2"
"198","8th Phase JP Nagar","1800","3","80","3"
"199","8th Phase JP Nagar","2700","4","130","4"
"200","8th Phase JP Nagar","1080","2","38","2"
"201","8th Phase JP Nagar","1059","2","34.5","2"
"202","8th Phase JP Nagar","1080","2","35","2"
"203","8th Phase JP Nagar","1275","2","41.5","3"
"204","8th Phase JP Nagar","1062","2","42.47","2"
"205","8th Phase JP Nagar","500","1","31","1"
"206","8th Phase JP Nagar","1100","2","35","2"
"207","8th Phase JP Nagar","2100","4","92","4"
"208","8th Phase JP Nagar","1035","2","39.33","2"
"209","8th Phase JP Nagar","909","2","40.9","2"
"210","8th Phase JP Nagar","1900","4","90","3"
"211","8th Phase JP Nagar","500","1","30","1"
"212","8th Phase JP Nagar","1125","2","36.94","2"
"213","8th Phase JP Nagar","1100","2","35","2"
"214","8th Phase JP Nagar","1089","2","43.55","2"
"215","8th Phase JP Nagar","1605","2","65","3"
"216","8th Phase JP Nagar","1504","2","83","3"
"217","8th Phase JP Nagar","2600","4","115","4"
"218","8th Phase JP Nagar","1368","2","54.71","3"
"219","8th Phase JP Nagar","1089","2","43.55","2"
"220","8th Phase JP Nagar","1224","2","48.95","3"
"221","8th Phase JP Nagar","1513","2","62","2"
"222","8th Phase JP Nagar","1298","2","59","2"
"223","8th Phase JP Nagar","1006","2","44","2"
"224","8th Phase JP Nagar","500","1","33","1"
"225","8th Phase JP Nagar","1160","2","95","2"
"226","8th Phase JP Nagar","1245","2","59","2"
"227","8th Phase JP Nagar","1510","2","80","2"
"228","8th Phase JP Nagar","3300","3","165","3"
"229","8th Phase JP Nagar","1730","5","75","5"
"230","8th Phase JP Nagar","1296","2","51.83","3"
"231","8th Phase JP Nagar","1275","3","45","3"
"232","8th Phase JP Nagar","1046","2","48","2"
"233","8th Phase JP Nagar","1269","2","50.75","3"
"234","8th Phase JP Nagar","1408","3","80","3"
"235","8th Phase JP Nagar","1500","2","55","3"
"236","9th Phase JP Nagar","1005","2","50","2"
"237","9th Phase JP Nagar","1890","2","85","3"
"238","9th Phase JP Nagar","1100","2","65","2"
"239","9th Phase JP Nagar","1080","2","37","2"
"240","9th Phase JP Nagar","1035","2","45","2"
"241","9th Phase JP Nagar","5000","4","290","4"
"242","9th Phase JP Nagar","1164","2","56","2"
"243","9th Phase JP Nagar","1005","2","42","2"
"244","9th Phase JP Nagar","1127","2","50","2"
"245","9th Phase JP Nagar","1005","2","43","2"
"246","9th Phase JP Nagar","835","2","37","2"
"247","9th Phase JP Nagar","1050","2","39","2"
"248","9th Phase JP Nagar","660","2","27","2"
"249","9th Phase JP Nagar","600","1","20","1"
"250","9th Phase JP Nagar","1466","2","71","2"
"251","9th Phase JP Nagar","1890","2","93","3"
"252","9th Phase JP Nagar","1079","2","60","2"
"253","9th Phase JP Nagar","1480","2","80","2"
"254","9th Phase JP Nagar","1200","2","80","2"
"255","9th Phase JP Nagar","905","2","32","2"
"256","9th Phase JP Nagar","1073","2","52.36","2"
"257","9th Phase JP Nagar","1719.3","2","88","3"
"258","9th Phase JP Nagar","1780","3","88","3"
"259","9th Phase JP Nagar","1300","2","58","3"
"260","9th Phase JP Nagar","1522","3","90","3"
"261","9th Phase JP Nagar","1571","3","65","3"
"262","9th Phase JP Nagar","1900","4","80","4"
"263","9th Phase JP Nagar","890","2","45","2"
"264","9th Phase JP Nagar","1240","2","39.89","3"
"265","9th Phase JP Nagar","5000","4","300","4"
"266","9th Phase JP Nagar","1240","2","42.85","3"
"267","9th Phase JP Nagar","1050","2","35","2"
"268","9th Phase JP Nagar","1331.95","2","69","2"
"269","AECS Layout","1100","2","45","2"
"270","AECS Layout","1028","2","42","2"
"271","AECS Layout","1199","2","65","2"
"272","AECS Layout","1080","2","55","2"
"273","AECS Layout","1123","2","64","2"
"274","AECS Layout","1308","2","60","2"
"275","AECS Layout","1005","2","55","2"
"276","AECS Layout","2000","3","90","3"
"277","Abbigere","985","2","40.39","2"
"278","Abbigere","2200","6","68","6"
"279","Abbigere","765","2","30","1"
"280","Abbigere","880","2","35","2"
"281","Abbigere","795","2","32.54","2"
"282","Abbigere","1005","2","39.59","2"
"283","Abbigere","734","1","19.82","1"
"284","Abbigere","1260","2","45","3"
"285","Abbigere","1020","2","41.82","2"
"286","Abbigere","985","2","40.39","2"
"287","Abbigere","2500","6","81","6"
"288","Abbigere","795","2","32.54","2"
"289","Abbigere","1130","2","46.33","2"
"290","Abbigere","795","1","32.6","2"
"291","Abbigere","3000","8","150","8"
"292","Abbigere","985","2","38.92","2"
"293","Abbigere","1000","2","41","2"
"294","Abbigere","995","2","40.8","2"
"295","Abbigere","1020","2","40.8","2"
"296","Akshaya Nagar","1388","2","57","2"
"297","Akshaya Nagar","1070","2","54","2"
"298","Akshaya Nagar","1280","2","58","2"
"299","Akshaya Nagar","1662","3","85.1","3"
"300","Akshaya Nagar","1897","3","120","3"
"301","Akshaya Nagar","1410","2","75","3"
"302","Akshaya Nagar","1360","2","85","3"
"303","Akshaya Nagar","1600","2","65","3"
"304","Akshaya Nagar","1410","2","80","3"
"305","Akshaya Nagar","1662","3","85","3"
"306","Akshaya Nagar","1662","3","85.5","3"
"307","Akshaya Nagar","1280","2","60","2"
"308","Akshaya Nagar","1666","3","95","3"
"309","Akshaya Nagar","1575","3","90","3"
"310","Akshaya Nagar","1430","2","75","3"
"311","Akshaya Nagar","1419","2","73","3"
"312","Akshaya Nagar","1280","2","60","2"
"313","Akshaya Nagar","1200","2","50","2"
"314","Akshaya Nagar","1092","2","60","2"
"315","Akshaya Nagar","1690","3","85","3"
"316","Akshaya Nagar","1700","3","80","3"
"317","Akshaya Nagar","1897","4","93","3"
"318","Akshaya Nagar","1884","3","98","3"
"319","Akshaya Nagar","1314","2","68.8","2"
"320","Akshaya Nagar","1690","3","85","3"
"321","Akshaya Nagar","1265","2","67","2"
"322","Akshaya Nagar","1126","2","55","2"
"323","Akshaya Nagar","2300","4","102","3"
"324","Akshaya Nagar","1662","3","90","3"
"325","Akshaya Nagar","1420","2","75","3"
"326","Akshaya Nagar","1412","2","88","3"
"327","Akshaya Nagar","1434","3","84","3"
"328","Akshaya Nagar","1890","4","100","3"
"329","Akshaya Nagar","2650","3","125","3"
"330","Akshaya Nagar","1419","2","87","3"
"331","Akshaya Nagar","1300","2","54","2"
"332","Akshaya Nagar","1690","3","85","3"
"333","Akshaya Nagar","1113","2","52","2"
"334","Akshaya Nagar","1820","4","95","3"
"335","Akshaya Nagar","1100","2","48","2"
"336","Akshaya Nagar","1896","3","102","3"
"337","Akshaya Nagar","1300","2","66","2"
"338","Akshaya Nagar","1225","2","68","2"
"339","Akshaya Nagar","1179","2","51","2"
"340","Akshaya Nagar","1421","2","73","3"
"341","Akshaya Nagar","1893","4","95","3"
"342","Akshaya Nagar","900","2","45","2"
"343","Ambalipura","1105","2","75","2"
"344","Ambalipura","1800","3","110","3"
"345","Ambalipura","1150","2","80","2"
"346","Ambalipura","1250","2","66.25","2"
"347","Ambalipura","1332","2","79","2"
"348","Ambalipura","1730","3","120","3"
"349","Ambalipura","3500","3","198","3"
"350","Ambalipura","1230","2","66.25","2"
"351","Ambalipura","1351","2","77","2"
"352","Ambalipura","2550","4","149","4"
"353","Ambalipura","1817","3","102","3"
"354","Ambalipura","2750","4","142","4"
"355","Ambalipura","1303","2","80","2"
"356","Ambalipura","1607","2","112","3"
"357","Ambalipura","770","1","43.82","1"
"358","Ambalipura","1700","2","76","2"
"359","Ambalipura","1060","2","58.5","2"
"360","Ambalipura","1650","3","100","3"
"361","Ambalipura","1607","2","112","3"
"362","Ambalipura","1198","2","80","2"
"363","Ambedkar Nagar","1935","4","130","3"
"364","Ambedkar Nagar","1424","2","90","2"
"365","Ambedkar Nagar","2225","4","169","3"
"366","Ambedkar Nagar","1862","3","120","3"
"367","Ambedkar Nagar","1850","4","139","3"
"368","Ambedkar Nagar","1936","4","126","3"
"369","Ambedkar Nagar","1862","3","119","3"
"370","Ambedkar Nagar","1424","2","90","2"
"371","Ambedkar Nagar","2150","4","125","3"
"372","Ambedkar Nagar","3530","4","290","4"
"373","Ambedkar Nagar","1856","3","120","3"
"374","Ambedkar Nagar","1852","3","130","3"
"375","Ambedkar Nagar","1850","4","120","3"
"376","Ambedkar Nagar","1367","2","86","2"
"377","Ambedkar Nagar","3565","4","255","4"
"378","Ambedkar Nagar","1409","2","95","2"
"379","Ambedkar Nagar","1950","4","120","3"
"380","Ambedkar Nagar","1921","4","129","3"
"381","Ambedkar Nagar","1920","4","121","3"
"382","Ambedkar Nagar","1935","4","125","3"
"383","Ambedkar Nagar","1852","4","122","3"
"384","Ambedkar Nagar","1950","4","120","3"
"385","Ambedkar Nagar","1852","3","125","3"
"386","Ambedkar Nagar","1850","4","121","3"
"387","Ambedkar Nagar","1425","2","94","2"
"388","Ambedkar Nagar","2395","4","150","3"
"389","Amruthahalli","900","2","40","2"
"390","Amruthahalli","1200","2","55","2"
"391","Amruthahalli","1900","3","135","3"
"392","Amruthahalli","924","2","45","2"
"393","Amruthahalli","900","2","60","2"
"394","Amruthahalli","1100","2","45","2"
"395","Amruthahalli","1200","2","55","2"
"396","Amruthahalli","1350","2","63","3"
"397","Amruthahalli","1605","3","65","3"
"398","Amruthahalli","1700","3","77","3"
"399","Amruthahalli","1450","2","85","3"
"400","Amruthahalli","1200","2","55","2"
"401","Amruthahalli","1250","2","79","2"
"402","Amruthahalli","1190","2","50","2"
"403","Amruthahalli","1202","2","65","2"
"404","Amruthahalli","1340","2","75","2"
"405","Amruthahalli","2650","4","175","3"
"406","Amruthahalli","1450","2","90","3"
"407","Amruthahalli","1025","2","42","2"
"408","Amruthahalli","485","1","19.5","1"
"409","Anandapura","1167","2","43.76","2"
"410","Anandapura","1000","2","55","2"
"411","Anandapura","1141","2","42.79","2"
"412","Anandapura","1576","3","59.1","3"
"413","Anandapura","1200","2","67","2"
"414","Anandapura","1200","2","58","2"
"415","Anandapura","1151","2","43.1","2"
"416","Anandapura","1141","2","42.75","2"
"417","Anandapura","900","2","48","2"
"418","Anandapura","1749","4","90","4"
"419","Anandapura","1151","2","42.9","2"
"420","Anandapura","1576","3","58","3"
"421","Anandapura","1250","2","45","2"
"422","Anandapura","1151","2","43.16","2"
"423","Anandapura","1200","2","58","2"
"424","Anandapura","1200","2","66","3"
"425","Anandapura","1415","2","74","3"
"426","Anandapura","1200","2","50","2"
"427","Anandapura","1141","2","50","2"
"428","Anandapura","1576","3","58.7","3"
"429","Ananth Nagar","500","1","14","1"
"430","Ananth Nagar","1100","2","31.5","2"
"431","Ananth Nagar","982","2","24.55","2"
"432","Ananth Nagar","500","2","14","1"
"433","Ananth Nagar","900","2","22.5","2"
"434","Ananth Nagar","908","2","26","2"
"435","Ananth Nagar","870","2","36","2"
"436","Ananth Nagar","937","2","35","2"
"437","Ananth Nagar","960","2","37","2"
"438","Ananth Nagar","500","1","14","1"
"439","Ananth Nagar","1000","2","29.7","2"
"440","Ananth Nagar","850","2","25.99","2"
"441","Ananth Nagar","902","2","25.26","2"
"442","Ananth Nagar","1470","3","54","3"
"443","Ananth Nagar","810","2","25.5","2"
"444","Ananth Nagar","890","2","27","2"
"445","Ananth Nagar","1200","2","36","2"
"446","Ananth Nagar","1319","3","37.75","3"
"447","Ananth Nagar","1319","3","42","3"
"448","Ananth Nagar","1000","2","25","2"
"449","Ananth Nagar","902","2","25","2"
"450","Ananth Nagar","930","2","25.99","2"
"451","Ananth Nagar","1074","2","26.85","2"
"452","Ananth Nagar","500","1","14","1"
"453","Ananth Nagar","1010","2","38","2"
"454","Ananth Nagar","992","2","24.8","2"
"455","Anekal","1200","1","36","2"
"456","Anekal","656","2","22","2"
"457","Anekal","620","2","22","2"
"458","Anekal","600","1","16.5","1"
"459","Anekal","925","2","40","2"
"460","Anekal","530","1","18","1"
"461","Anekal","1800","3","68","3"
"462","Anekal","1200","1","36","2"
"463","Anekal","351","1","16","1"
"464","Anekal","1035","2","38.3","2"
"465","Anekal","888","2","34","2"
"466","Anekal","1200","2","36.1","2"
"467","Anekal","700","1","19.4","2"
"468","Anekal","1200","1","36","2"
"469","Anekal","1200","2","36","4"
"470","Anekal","766","2","28","2"
"471","Anekal","967","2","45","3"
"472","Anekal","620","1","23.5","2"
"473","Anekal","1150","3","45","3"
"474","Anekal","1200","1","36","2"
"475","Anekal","1200","1","36","2"
"476","Anekal","400","1","11.5","1"
"477","Anekal","456","1","15","1"
"478","Anekal","1200","1","36","2"
"479","Anekal","1200","1","36","2"
"480","Anekal","2400","4","95","3"
"481","Anekal","1200","2","36.1","2"
"482","Anekal","1200","2","36.1","2"
"483","Anekal","680","1","21","2"
"484","Anekal","420","1","12.5","1"
"485","Anekal","614","1","28","2"
"486","Anekal","1140","2","52","2"
"487","Anekal","625","1","25","2"
"488","Anjanapura","1850","4","86","4"
"489","Anjanapura","1070","2","39","2"
"490","Anjanapura","1500","3","121","3"
"491","Anjanapura","1070","2","37","2"
"492","Anjanapura","950","2","40","2"
"493","Anjanapura","1280","2","45","3"
"494","Anjanapura","710","2","25","2"
"495","Anjanapura","1347","2","37.72","3"
"496","Anjanapura","950","2","32","2"
"497","Anjanapura","1800","4","55","4"
"498","Anjanapura","1843","3","87.54","3"
"499","Anjanapura","1076","2","30.13","2"
"500","Anjanapura","950","2","30","2"
"501","Ardendale","1750","3","100","3"
"502","Ardendale","3198","4","200","4"
"503","Ardendale","2422","4","160","4"
"504","Ardendale","1750","3","100","3"
"505","Ardendale","3200","4","205","4"
"506","Ardendale","1728","3","95","3"
"507","Ardendale","2062","3","140","4"
"508","Ardendale","1732.46","3","92","3"
"509","Ardendale","2062","3","150","4"
"510","Ardendale","2800","4","140","4"
"511","Ardendale","1224","2","70","2"
"512","Ardendale","1777.26","3","105","3"
"513","Ardendale","1650","3","82","3"
"514","Ardendale","2062","3","140","4"
"515","Ardendale","1650","3","82","3"
"516","Ardendale","1224","2","67","2"
"517","Ardendale","1723","3","95","3"
"518","Ardendale","1777.26","3","89","3"
"519","Ardendale","1777.26","3","92","3"
"520","Arekere","2060","3","140","3"
"521","Arekere","920","2","40","2"
"522","Arekere","1740","2","95","3"
"523","Arekere","1190","2","55","2"
"524","Arekere","600","1","28","1"
"525","Arekere","2072","3","108","3"
"526","Arekere","1100","2","55","2"
"527","Arekere","900","2","50","2"
"528","Arekere","2710","6","142","4"
"529","Arekere","1240","2","60","2"
"530","Arekere","900","2","44.5","2"
"531","Attibele","450","1","11","1"
"532","Attibele","1600","4","52.8","4"
"533","Attibele","656","2","25","2"
"534","Attibele","400","1","11","1"
"535","Attibele","400","1","12","1"
"536","Attibele","400","1","14","1"
"537","Attibele","500","1","17","1"
"538","Attibele","2168","4","95","4"
"539","Attibele","395","1","10.25","1"
"540","Attibele","420","1","17","1"
"541","Attibele","1639","2","40.98","3"
"542","Attibele","418","1","12","1"
"543","Attibele","1200","2","42","2"
"544","Attibele","400","1","10","1"
"545","Attibele","695","1","25","2"
"546","Attibele","850","1","25","2"
"547","Attibele","2400","3","120","3"
"548","Attibele","450","1","12.5","1"
"549","Attibele","995","1","24.88","2"
"550","Attibele","900","1","25","2"
"551","Attibele","1174","2","29.35","2"
"552","Attibele","782","1","19.55","1"
"553","Attibele","1175","2","29.38","2"
"554","Attibele","656","2","25","2"
"555","Attibele","400","1","11.5","1"
"556","Attibele","460","1","13","1"
"557","Attibele","418","2","11.5","1"
"558","Attibele","1000","2","42","2"
"559","Attibele","550","1","11.5","1"
"560","Attibele","996","2","24.9","2"
"561","Attibele","410","1","10","1"
"562","Attibele","1700","3","65","3"
"563","Attibele","400","1","10.25","1"
"564","Attibele","656","2","25","2"
"565","Attibele","1500","3","90","3"
"566","Attibele","520","1","15","1"
"567","BEML Layout","1060","2","55","2"
"568","BEML Layout","2000","3","85","3"
"569","BEML Layout","999","2","45","2"
"570","BEML Layout","2400","4","225","5"
"571","BEML Layout","2000","2","85","3"
"572","BEML Layout","1194","2","65","2"
"573","BEML Layout","1200","2","67","2"
"574","BEML Layout","2400","2","228","2"
"575","BEML Layout","2000","3","85","3"
"576","BEML Layout","2000","3","85","3"
"577","BEML Layout","1194","2","65","2"
"578","BTM 2nd Stage","1260","5","185","3"
"579","BTM 2nd Stage","950","2","52","2"
"580","BTM 2nd Stage","1850","3","170","3"
"581","BTM 2nd Stage","1200","2","80","2"
"582","BTM 2nd Stage","1274","2","70","2"
"583","BTM 2nd Stage","1250","3","50","3"
"584","BTM 2nd Stage","1070","2","48","2"
"585","BTM 2nd Stage","1280","2","80","2"
"586","BTM 2nd Stage","1100","2","70","2"
"587","BTM 2nd Stage","1000","2","58","2"
"588","BTM 2nd Stage","2990","5","416","5"
"589","BTM 2nd Stage","1265","2","55","2"
"590","BTM 2nd Stage","2200","3","220","3"
"591","BTM 2nd Stage","2780","4","325","3"
"592","BTM 2nd Stage","2400","2","360","3"
"593","BTM 2nd Stage","965","2","56","2"
"594","BTM 2nd Stage","1147","2","75","2"
"595","BTM 2nd Stage","1750","3","172","3"
"596","BTM 2nd Stage","1400","2","90","2"
"597","BTM 2nd Stage","1200","2","70","2"
"598","BTM 2nd Stage","1100","2","47","2"
"599","BTM 2nd Stage","930","2","46","2"
"600","BTM 2nd Stage","1265","2","55","3"
"601","BTM 2nd Stage","2500","3","345","3"
"602","BTM Layout","1150","2","63","2"
"603","BTM Layout","3300","6","165","6"
"604","BTM Layout","1450","2","81","3"
"605","BTM Layout","1776","2","75","3"
"606","BTM Layout","1458","3","79","3"
"607","BTM Layout","935","2","51.5","2"
"608","BTM Layout","1020","2","46.5","2"
"609","BTM Layout","1600","3","112","3"
"610","BTM Layout","1300","2","75","3"
"611","BTM Layout","1540","2","78","3"
"612","BTM Layout","450","1","20","1"
